vision,https://lmarena.ai/zh/leaderboard/vision/overall,"View rankings across multimodal, generative AI models capable of understanding and processing visual inputs",1213,,,,1223,,,,1180,,,,1209,,,,1249,,,,1284,,,
text,https://lmarena.ai/zh/leaderboard/text,"View rankings across various LLMs on their versatility, linguistic precision, and cultural context across text",1408,,,,1436,,,,1420,,,,1448,,,,1451,,,,1475,,,
MMMU,https://mmmu-benchmark.github.io/#leaderboard,massive multi-discipline tasks demanding college-level subject knowledge and deliberate reasoning,79.7,,,,74.4,,,,,,,,77.1,,,,79.6,,,,,,,
MultiNRC,https://scale.com/leaderboard/multinrc,"contains native and challenging reasoning questions of the targeted language, to assess LLMs' reasoning capability under a natural and native context.",,,,,52.13,,,,,,,,38.39,,,,45.12（gemini 2.5 pro preview),,,,59.96（Gemini-3-pro-preview）,,,
MultiChallenge,https://scale.com/leaderboard/multichallenge," on conducting multi-turn conversations with human users, a crucial yet underexamined capability for their applications",52.62,,,,58.55,,,,,,,,55.18,,,,51.62,,,,59.15（Gemini-3-pro-preview）,,,
VISTA,https://scale.com/leaderboard/visual_language_understanding,A Rubric-based Visual Task Assessment,49.15,,,,52.39,,,,,,,,48.44,,,,54.63,,,,51.49（Gemini-3-pro-preview）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
基础场景,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
场景1 指令遵循,,,Gemini-2.5-Flash,,,,GPT-5,,,,Grok4,,,,claude-opus-4.1,,,,Gemini-2.5-Pro,,,,Gemini-3-pro,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
APP,TaskType,指令,Score,time,op,aat,score,timeuse,op_times,aat,score,timeuse,op_times,aat,score,timeuse,op_times,aat,score,timeuse,op_times,aat,score,timeuse,op_times,aat
高德,type21,打开高德，点击更多工具，在高德精选中找到语音包，并点入,100,44.2279,2,22.11395,100,100.1658,2,50.0829,0,956.1143,6,159.3523833,100,124.2574,3,41.41913333,100,53.4352,2,26.7176,100,44.2988,2,22.1494
京东,type21,打开京东，点击 我的，点击设置，滑动找到模式切换，点击进入后选择长辈模式,0,61.9136,6,10.31893333,100,249.2897,5,49.85794,0,789.0434,6,131.5072333,100,212.525,5,42.505,0,102.7363,6,17.12271667,100,109.8798,5,21.97596
美团,type21,打开美团，点击电影演出，点击上边左侧的“电影/影院”，选择“巨幕影城（光谷广场资本大厦店），购买今天（12月1日），12:10分的疯狂动物城2的电影票”,0,66.5193,6,11.08655,100,315.1926,4,78.79815,0,744.0542,6,124.0090333,100,282.1257,4,70.531425,100,176.6794,4,44.16985,100,341.7863,4,85.446575
淘宝,type21,打开淘宝，点击上方国补，点击国补官方榜单，选择电视，点击第四个产品，点击加入购物车，选择两件，选择【144Hz高刷 2+64GB大存储】REDMI AI X65,0,76.5913,6,12.76521667,0,254.8172,6,42.46953333,0,447.6797,6,74.61328333,0,198.2632,6,33.04386667,0,107.4283,6,17.90471667,0,152.3086,6,25.38476667
网易云音乐,type21,打开网易云音乐，点击每日推荐，点击播放全部,100,31.4594,2,15.7297,100,99.6142,2,49.8071,0,637.636,6,106.2726667,100,96.9068,2,48.4534,100,45.8396,2,22.9198,100,59.6826,2,29.8413
微博,type21,我希望你严格遵循以下指令，完成关注杨奇超话的任务 1）打开微博 2）在下方图标栏点击 我 3）查看 关注 4）下滑找到 -杨奇-，并点击 5）点击 超话 6）点击关注 ,16.6667,78.6103,7,11.23004286,16.6667,308.7651,7,44.1093,0,314.1866,0,100,16.6667,264.3693,7,37.76704286,16.6667,186.6578,7,26.6654,16.6667,168.1707,7,24.02438571
小红书,type21,打开小红书，点击市集，点击潮玩，选择结界兽并点击,100,62.3578,3,20.78593333,100,184.5305,3,61.51016667,0,410.7361,6,68.45601667,100,141.3013,3,47.10043333,100,97.2064,3,32.40213333,100,86.5147,3,28.83823333
知乎,type21,打开知乎，点击消息，点击评论转发,100,69.2162,2,34.6081,100,143.5273,2,71.76365,50,1102.3992,2,551.1996,100,110.7132,2,55.3566,100,81.3646,2,40.6823,100,86.3347,2,43.16735
bilibili,type21,打开bilibili，点击页面下方图标我的，点击关注，上滑找到影视飓风，点击进入影视飓风的主页，点击充电,0,87.8195,6,14.63658333,0,232.7726,6,38.79543333,0,519.2017,5,103.84034,0,205.1852,6,34.19753333,0,181.6181,6,30.26968333,0,243.5831,6,40.59718333
携程,type21,打开携程旅行，点击酒店，城市点击后，在国内热门城市中选择北京，时间选择12月24日-12月25日，价格选择300-400后点击完成，点击查询酒店,0,91.7705,6,15.29508333,90,585.0411,10,58.50411,0,778.5006,6,129.7501,10,258.9523,7,36.99318571,0,133.8109,6,22.30181667,10,121.085,7,17.29785714
